"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"542","2015-01-01 00:21:44","2015-01-01 00:30:47","115","Porter Square Station","42.387995","-71.119084","96","Cambridge Main Library at Broadway / Trowbridge St","42.373379","-71.111075","277","Subscriber","1984","1"
"438","2015-01-01 00:27:03","2015-01-01 00:34:21","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","648","Subscriber","1985","1"
"254","2015-01-01 00:31:31","2015-01-01 00:35:46","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","555","Subscriber","1974","1"
"432","2015-01-01 00:53:46","2015-01-01 01:00:58","115","Porter Square Station","42.387995","-71.119084","96","Cambridge Main Library at Broadway / Trowbridge St","42.373379","-71.111075","1307","Subscriber","1987","1"
"735","2015-01-01 01:07:06","2015-01-01 01:19:21","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","177","Customer","1986","2"
"311","2015-01-01 01:28:27","2015-01-01 01:33:38","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","76","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","42.366426","-71.105495","685","Subscriber","1989","1"
"1259","2015-01-01 01:34:54","2015-01-01 01:55:54","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","118","Linear Park - Mass. Ave. at Cameron Ave. ","42.397828","-71.130516","940","Subscriber","1964","1"
"338","2015-01-01 02:32:35","2015-01-01 02:38:13","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","656","Subscriber","1981","1"
"429","2015-01-01 04:41:58","2015-01-01 04:49:08","117","Binney St / Sixth St","42.366095","-71.086388","76","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","42.366426","-71.105495","134","Customer","1989","1"
"289","2015-01-01 08:00:15","2015-01-01 08:05:04","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","75","Lafayette Square at Mass Ave / Main St / Columbia St","42.36346469304347","-71.10057324171066","23","Subscriber","1993","1"
"276","2015-01-01 08:22:12","2015-01-01 08:26:48","75","Lafayette Square at Mass Ave / Main St / Columbia St","42.36346469304347","-71.10057324171066","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","23","Subscriber","1993","1"
"1476","2015-01-01 08:29:05","2015-01-01 08:53:42","115","Porter Square Station","42.387995","-71.119084","36","Boston Public Library - 700 Boylston St.","42.349673","-71.077303","842","Subscriber","1978","1"
"1095","2015-01-01 08:58:16","2015-01-01 09:16:32","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","23","Mayor Martin J Walsh - 28 State St","42.35892","-71.057629","959","Subscriber","1988","2"
"446","2015-01-01 09:15:26","2015-01-01 09:22:52","90","Lechmere Station at Cambridge St / First St","42.370677","-71.076529","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","1306","Subscriber","1988","1"
"426","2015-01-01 09:26:21","2015-01-01 09:33:28","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","854","Customer","1989","2"
"1274","2015-01-01 10:02:17","2015-01-01 10:23:31","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","46","Christian Science Plaza","42.343864","-71.085918","703","Customer","1982","1"
"539","2015-01-01 10:27:55","2015-01-01 10:36:54","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","656","Subscriber","1985","2"
"793","2015-01-01 10:33:31","2015-01-01 10:46:45","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","115","Porter Square Station","42.387995","-71.119084","738","Subscriber","1991","1"
"479","2015-01-01 10:43:13","2015-01-01 10:51:13","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","141","Kendall Street","42.363560158429884","-71.08216792345047","1113","Subscriber","1984","1"
"365","2015-01-01 10:48:10","2015-01-01 10:54:15","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","104","Harvard University Radcliffe Quadrangle at Shepard St / Garden St","42.380287","-71.125107","549","Customer","1962","2"
"1747","2015-01-01 10:53:43","2015-01-01 11:22:51","73","Harvard Square at Brattle St / Eliot St","42.373231","-71.120886","73","Harvard Square at Brattle St / Eliot St","42.373231","-71.120886","784","Subscriber",\N,"0"
"645","2015-01-01 10:53:36","2015-01-01 11:04:21","90","Lechmere Station at Cambridge St / First St","42.370677","-71.076529","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","716","Subscriber","1982","1"
"686","2015-01-01 10:58:44","2015-01-01 11:10:10","75","Lafayette Square at Mass Ave / Main St / Columbia St","42.36346469304347","-71.10057324171066","6","Cambridge St. at Joy St.","42.361174","-71.065142","804","Customer","1964","1"
"331","2015-01-01 11:27:01","2015-01-01 11:32:33","104","Harvard University Radcliffe Quadrangle at Shepard St / Garden St","42.380287","-71.125107","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","868","Customer","1962","2"
"436","2015-01-01 11:37:53","2015-01-01 11:45:09","140","Danehy Park","42.388966","-71.132788","115","Porter Square Station","42.387995","-71.119084","742","Subscriber","1987","1"
"415","2015-01-01 11:43:40","2015-01-01 11:50:36","107","Ames St at Main St","42.3625","-71.08822","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","1277","Subscriber","1986","1"
"276","2015-01-01 11:49:50","2015-01-01 11:54:26","74","Harvard Square at Mass Ave/ Dunster","42.373268","-71.118579","87","Harvard University Housing - 115 Putnam Ave at Peabody Terrace","42.366621","-71.114214","739","Subscriber","1989","1"
"306","2015-01-01 11:51:00","2015-01-01 11:56:07","107","Ames St at Main St","42.3625","-71.08822","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","664","Customer","1977","1"
"271","2015-01-01 11:51:42","2015-01-01 11:56:13","107","Ames St at Main St","42.3625","-71.08822","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","661","Customer","1986","2"
"472","2015-01-01 12:14:39","2015-01-01 12:22:32","117","Binney St / Sixth St","42.366095","-71.086388","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","1292","Subscriber",\N,"0"
"333","2015-01-01 12:17:10","2015-01-01 12:22:44","117","Binney St / Sixth St","42.366095","-71.086388","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","921","Subscriber",\N,"0"
"233","2015-01-01 12:21:39","2015-01-01 12:25:32","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","442","Customer","1988","1"
"603","2015-01-01 12:27:30","2015-01-01 12:37:34","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","876","Customer","1987","2"
"515","2015-01-01 12:31:16","2015-01-01 12:39:51","89","Harvard Law School at Mass Ave / Jarvis St","42.379011","-71.119945","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","652","Customer","1970","1"
"504","2015-01-01 12:35:46","2015-01-01 12:44:10","143","EF - North Point Park","42.369885","-71.069957","117","Binney St / Sixth St","42.366095","-71.086388","646","Customer","1960","1"
"472","2015-01-01 12:36:15","2015-01-01 12:44:08","143","EF - North Point Park","42.369885","-71.069957","117","Binney St / Sixth St","42.366095","-71.086388","770","Customer","1954","1"
"823","2015-01-01 12:36:33","2015-01-01 12:50:17","76","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","42.366426","-71.105495","74","Harvard Square at Mass Ave/ Dunster","42.373268","-71.118579","1265","Customer","1980","2"
"189","2015-01-01 12:40:55","2015-01-01 12:44:04","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","75","Lafayette Square at Mass Ave / Main St / Columbia St","42.36346469304347","-71.10057324171066","1047","Subscriber","1988","1"
"398","2015-01-01 12:45:35","2015-01-01 12:52:13","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","107","Ames St at Main St","42.3625","-71.08822","1277","Subscriber","1986","1"
